Index_ID,Text_Chunk
0,"3/28/23, 12:01 AM
About Parts, Part Assemblies, Part Instances
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/part_and_part_assembly_about_c.htm
1/2
2022.2
About Parts, Part Assemblies, Part Instances
A part is an engineering representation of a physical part, and a part assembly is a group of
part assemblies and/or parts. Part Instances, which are recognized from PDM, are
automatically converted to Part Instances on import into HyperMesh.
Parts and Part Assemblies"
1,"Parts and Part Assemblies
HyperMesh supports CAE parts ( 
 ) and part assemblies ( 
 ) and PDM parts (
) and part assemblies ( 
 ).
Parts assemblies and parts facilitate the one-to-one mapping of a CAD hierarchy into the HyperMesh environment as
a CAE hierarchy. The CAE hierarchy can be created manually or can be imported from a PDM system via a neutral file
format such as PLMXML.
Figure 1. PDM BOM
Figure 2. HyperMesh BOM"
2,"Figure 1. PDM BOM
Figure 2. HyperMesh BOM
If a part is comprised of multiple components, such as cast parts or tailor-welded blanks, you can perform actions
such as visualization view modes, model management, and connector link definition at the part level.
Parts can be used to organize a physical part that is made up of multiple components in a CAE model as a single
part.
Figure 3. Cast Part in Part Browser"
3,"3/28/23, 12:01 AM
About Parts, Part Assemblies, Part Instances
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/part_and_part_assembly_about_c.htm
2/2
In the Part Browser, collapsing all folders at the part level enables you to see all owned and referenced entities.
Expanding folders at the part level displays a nested list of all referenced components and their entity specific
attribute values which are shown in the respective columns.
Part Instances"
4,"Part Instances
The Part browser provides limited support for part instances of externally sourced BOMs.
Part Instances (
) share UID and Part names. The name assigned to child instances is incremented by *.ixx, where
xx indicates the number of the child instance. The positioning of Part Instances is dictated by the transformation
matrix applied to the Part in the PDM system. Part Instances can also be created and broken interactively in a"
5,"session. Upon creation, you will automatically be prompted to transform the part via the Transform tool. When
broken, instances are split into two separate parts that are independent of each other.
In circular, symmetric, or rectangular patterns, certain parts may appear in a BOM multiple times. Typical examples
include bolts, hinges, and symmetric parts.
Creating or saving part representations for instantiated parts saves a single representation in the repository."
6,Importing instantiated parts positions them according to their respective 4 x 3 transformation matrices.
7,"3/28/23, 12:02 AM
About Representations
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representations_about_c.htm
1/2
2022.2
About Representations
The CAD representation is typically the original source of information of what a physical part
will look like. It forms the basis of the Common representation, which in turn is the basis of all
subsequent discipline specific mesh representations. A part can contain multiple
representations."
8,"representations.
Figure 1. Hierarchical Relationship of Representations
The Common representation component typically contains geometry, though it can also consist of FE mesh.
A folder based Representation repository stores all CAE data that is required during the model build and assembly
process. CAE data stored in the Representation repository includes the geometric and FE representation of the parts
that comprise the subsystem specific model hierarchy."
9,"You can import a BOM via a neutral file format such as PLMXML or manually create a part structure using the Part
Browser context menu.
Common Representation
The Common representation is derived from the CAD representation and forms the basis of all subsequent discipline
specific mesh representations.
For sheet metal parts, the Common representation consists of midsurfaced geometry or FE. The CAD is sent to the"
10,"BatchMesher for midsurface extraction; upon completion it is saved into the repository and you can elect to
immediately import the representation into the session."
11,"3/28/23, 12:02 AM
About Representations
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representations_about_c.htm
2/2
HyperMesh entities are generated from the PDM metadata, if available, in the post-run procedure of the BatchMesh
operation. The PDM PID is assigned to the component and property, the PDM MID and PDM material is assigned to
the material and the PDM Thickness is assigned to the Thickness attribute of the property. If the PDM Thickness is"
12,"blank, the CAD Thickness calculated during the midsurface operation is automatically assigned to the Thickness
attribute of the property.
For parts such as castings and tailor-welded blanks, you can save CAD representations as Common models.
Alternatively, you can send solid parts to the BatchMesher. If thin-solid detection is enabled in the Common
representation parameter file, then solids will be detected and saved as the Common representation without"
13,"processing. By default, the midsurface algorithm skin is used. CAD representation does not need to be loaded into
the session in order to generate the Common representation since it is sent directly to the BatchMesher for
processing.
When you select a discipline specific mesh representation from the Change Representation dialog, Create tab, the
Common representation residing in the repository is automatically sent to the BatchMesher for processing. If the"
14,"Common representation does not exist it will be automatically generated.
Discipline Specific Mesh Representations
Common representations form the basis of all discipline specific representations. When you select a discipline
specific mesh representation from the Create Representation dialog, the Common representation residing in the
repository is automatically sent to the BatchMesher for processing. The Common representation does not need to"
15,"be loaded in the session to generate discipline specific mesh representations.
Figure 2. PDM Column Data in Part Browser"
16,"3/28/23, 12:03 AM
Add Representations from External Sources
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representation_add_from_external_source_t.htm
1/4
2022.2
Add Representations from External Sources
Add representations from external sources for a single part or for multiple parts and part
assemblies.
When selecting a part assembly or multiple parts, the Add Representations dialog enables you to map and associate"
17,"representation files to multiple parts simultaneously.
If appropriate metadata is available in the BOM, then the alias values will be preselected. After choosing a
Representation Folder, representation files will be mapped according to the HyperMesh naming convention. You can
then manually select or update any of the alias and representation file values.
Indicators are displayed for each part to indicate the status of that row.
Skip.
Any Part which does not have a mapped or selected representation.
OK."
18,"OK.
Alias and representation are chosen for the part.
Overwrite.
Part already has a representation which will be overwritten by the selected
mapping.
Duplicated.
The same representation file is chosen for more than one part, or the chosen
representation file is already used by another part in the same BOM. You
cannot click OK to add the representations when representations are
duplicated.
1. In the Part Browser, right-click on the part assemblies or part(s) and select Representations  > (and then) Add"
19,> (and then) from Files the context menu.
20,"3/28/23, 12:03 AM
Add Representations from External Sources
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representation_add_from_external_source_t.htm
2/4
2. In the Add Representation(s) dialog, define options accordingly."
21,"3/28/23, 12:03 AM
Add Representations from External Sources
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representation_add_from_external_source_t.htm
3/4
To add representations
for
Do this
Single part
a. From the Representation field, specify a desired representation type to which a
representation file will be added.
Choose a default representation type.
Enter your own user defined representation into the field."
22,"b. If you entered your own representation, select the appropriate mesh
parameter and criteria files.
User defined representations with defined mesh parameter and criteria files
created in the Add Representation dialog will be available in the Change
Representation dialog, Create tab. User defined representations with undefined
mesh parameter and criteria files created in the Add Representation dialog will
not be available in the Change Representation dialog, Create tab, but will appear"
23,"in the Load tab if a representation is found in the repository.
The availability of the selected representation in the repository is displayed next
to the representation type within parentheses.
Figure 1.
Multiple part or part
assemblies
a. In the Representation Folder field, navigate to the representation file.
b. For each part, select the representation type to be added. Use the
Representation File drop-down menu for each part to map. Parts associate"
24,"with the representation file. This will be done automatically if there is a
matching file.
Note:
You cannot add CAD or connectors.
You can select Part or Part Assembly for adding the representation."
25,"3/28/23, 12:03 AM
Add Representations from External Sources
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representation_add_from_external_source_t.htm
4/4
Figure 2.
3. To save the representations to the Part Library select the Save to Library checkbox.
4. Click OK."
26,"3/28/23, 12:02 AM
Add Representations from the Part Library
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representation_add_from_part_libraray_t.htm
1/1
2022.2
Add Representations from the Part Library
1. In the Part Browser, right-click on a part/part assembly and select Representations  > (and then) Add  > (and
then) from Library from the context menu.
2. In the Add Representations from Library dialog, select representations to add."
27,"3. Optional: To simultaneously add and load representations, select representations to load from the Load
Added Representations list.
4. Click OK.
Figure 1."
28,"3/28/23, 12:03 AM
Add Representations to the Part Library
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representation_add_to_part_library_t.htm
1/1
2022.2
Add Representations to the Part Library
After importing a BOM, you can add CAD representations to the Part Library.
1. In the Part Browser, right-click on a part/part assembly and select Representations  > (and then) Add  > (and
then) to Library from the context menu."
29,"then) to Library from the context menu.
2. In the Add Representation to Library dialog, select representations and click OK.
The Add Representation to Library dialog displays information regarding the availability of representations in library,
session, and overwrite details.
In Figure 1, CAD representations are being added to the Part Library. The Library column displays 0/8, which
indicates there are no CAD representations available in the Part Library. The Session column displays 6/8, which"
30,"indicate 6 out of 8 representations are currently available in the active HyperMesh session. The Overwrite column
displays 0/8, which indicates none of the representations will need to be overwritten.
Figure 1."
31,"3/27/23, 11:41 PM
Area Realization Methods
https://2022.help.altair.com/2022/hwdesktop/hwx/topics/pre_processing/connectors/area_realization_methods_unity_t.htm
1/1
2022
Area Realization Methods
Overview of the area connector realization process and methods.
Each test point can be considered as a single spot. The methods are the same and the results look identical.
Figure 1."
32,"3/28/23, 12:03 AM
Browse Library Content
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/browser_library_content_r.htm
1/1
2022.2
Browse Library Content
Review library content using the Library Viewer.
1. In the Part Browser, right-click on the part assemblies or part(s) and select one of the following:
Representations  > (and then) Add  > (and then) browse Library the context menu.
Library  > (and then) Library Viewer the context menu.
The Library Viewer opens."
33,"The Library Viewer opens.
2. Select the Part that contains the representations you would like to review.
A list of properties associated with the Part are displayed in the Properties pane.
Figure 1. Library Viewer"
34,"3/27/23, 11:48 PM
Create and Realize Connectors
https://2022.help.altair.com/2022/hwdesktop/hwx/topics/pre_processing/connectors/connectors_create_realize_t.htm#connectors_create_realize_t
1/7
2022
Create and Realize Connectors
Use the tools in the Create tool set to create connectors, assign controls, and realize.
1. Navigate to the Connectors ribbon then select any of the tools in the Create tool set to define the associated
connector type.
Point
Fastener
Line
Area
2. On the guide bar, click"
35,"Fastener
Line
Area
2. On the guide bar, click 
 to define connector options.
3. Use the selector on the guide bar to choose an entity type, then select features on which to create connectors."
36,"3/27/23, 11:48 PM
Create and Realize Connectors
https://2022.help.altair.com/2022/hwdesktop/hwx/topics/pre_processing/connectors/connectors_create_realize_t.htm#connectors_create_realize_t
2/7
4. Use the options in the microdialog to further define the connector.
The following options are available for all entity types and tools.
Option
Description
Move/Morph
(
)
Relocate sections or the whole connector to a different position
Link Edit (
)"
37,"Link Edit (
)
Opens a dialogue that allows you to adjust the link detection logic.
Show/Hide
Projections (
)
Show and hide the pre-projections that indicate where the connector will connect to.
Other options are dependent on the entity type and selected tool."
38,"3/27/23, 11:48 PM
Create and Realize Connectors
https://2022.help.altair.com/2022/hwdesktop/hwx/topics/pre_processing/connectors/connectors_create_realize_t.htm#connectors_create_realize_t
3/7
Option
Description
Trim (
)
Split the connector at a selected position.
Available for node list, line, element, and surface selection.
Partition (
)
Partition the seam connector if any part of that connector does not have projections.
Only available for the Line tool.
Pitch and
Density
Pitch (
)"
39,"Pitch and
Density
Pitch (
)
Adjust the number of significant points along the connector line by given spacing.
Density (
)
Adjust the number of significant points along the connector line by a number.
Available for node list and line selection in the Point and Line tools.
Line
Interpolation
Straight line (
)
A straight interpolation line is created between the selected nodes.
Figure 1.
Interpolated line (
)
A smoothed interpolation line is created between the selected nodes."
40,"3/27/23, 11:48 PM
Create and Realize Connectors
https://2022.help.altair.com/2022/hwdesktop/hwx/topics/pre_processing/connectors/connectors_create_realize_t.htm#connectors_create_realize_t
4/7
Figure 2.
Available for node list selection in the Point and Line tools.
Line Creation
None (
)
Leave the line selections separate.
Figure 3.
Combine Smooth (
)
Combine selected lines with an interpolated line.
5. Use the drop-down menu on the guide bar to assign a control to the connector."
41,"Choose a previously defined control or click Create New to open the Control Manager and define a new
control. If you select Undefined, the connector will be created without a control.
By default, an assigned control is realized.
6. On the guide bar, click one of the following:
 - Apply and stay in the tool
 - Apply and close the tool
 - Exit the tool without applying
Auto Point
Create weld points at a predefined pitch distance so that the model build process can continue"
42,"without the need to wait for the published weld data from CAD. The Auto Point tool is useful
when working with elements, not geometry."
43,"3/27/23, 11:48 PM
Create and Realize Connectors
https://2022.help.altair.com/2022/hwdesktop/hwx/topics/pre_processing/connectors/connectors_create_realize_t.htm#connectors_create_realize_t
5/7
Figure 4.
Combine Straight (
)
Combine selected lines with a straight line.
Figure 5.
Mid Line (
)
Generate a midline between selected lines.
Figure 6.
Only available for line selection.
Remesh (
)
Remesh the connector surface
Figure 8. ."
44,")
Remesh the connector surface
Figure 8. .
Starting with a CAD model, the Auto Point tool creates unrealized connectors (yellow) which can then realized via the Point tool.
1. From the Connectors ribbon, Point tool group, click the Auto Point tool.
Figure 9.
2. Select the components to automatically add connectors to.
All selected components receive connectors with the same qualities to help you perform a blanket application"
45,"of connectors – using the same pitch – to all components that need them as a single operation. Be wary of
simply selecting the whole model, however, as this could result in undesirable actions, such as adding welds
to a car's tires."
46,"3/27/23, 11:48 PM
Create and Realize Connectors
https://2022.help.altair.com/2022/hwdesktop/hwx/topics/pre_processing/connectors/connectors_create_realize_t.htm#connectors_create_realize_t
6/7
Remesh (
)
Remesh the connector surface.
Figure 7.
Available for any selection type in the Area tool.
3. Click 
 on the guide bar and define the following options.
Consider closed
shell thin solids
Use shell meshes that enclose a volume (some small gaps are allowed)
as input.
Create in middle"
47,"as input.
Create in middle
Create connectors in the middle of the found flanges.
Combine spots to
lines
Combine a series of spot connectors into a spot-line connector.
Maximum number
of layers field
The maximum number of layers for the connector to add.
Search distance
The distance to consider between components.
Spot pitch distance
The distance between each connector.
Spot pitch end
offset
The distance from the end of an edge/flange to the connector.
Distance from free
edge"
48,"Distance from free
edge
The distance from the free edge to the connector.
Distance from
feature edge
The distance from feature edge to connector.
Feature angle
The angle used to segregate the model into faces that are planar within
its specified value.
Max deviation from
avg dist (%)
the average distance that can be calculated based on the estimation
that the distance between two flanges does not change too much in the
areas where connectors should be placed."
49,"areas where connectors should be placed.
If the distance at the position where a connector is planned exceeds the
given deviating value, no connector will be created at that position.
This segregation is used to identify where auto point connectors are
placed. For example, faces found to have significant topological
complexity are not used to create auto point connectors.
Note:  By reducing its value, the complexity of some of these faces is
generally reduced. Of course, flat regions are unaffected by the"
50,"parameter.
Exclude holes with
width less than
Filter holes from the flange search if under a defined width.
4. Click 
 on the guide bar.
The created output is connectors with the appropriate spacing and other associated parameters. The connectors are
in the unrealized state."
51,"3/27/23, 11:48 PM
Create and Realize Connectors
https://2022.help.altair.com/2022/hwdesktop/hwx/topics/pre_processing/connectors/connectors_create_realize_t.htm#connectors_create_realize_t
7/7
Auto Line
Use the Auto Line tool to identify locations to create line connectors between components and
parts. This process works on 2D geometry and mesh.
1. From the Connectors ribbon, Line tool group, click the Auto Line tool.
Figure 10.
2. Select the parts to automatically add connectors to.
3. Click"
52,"3. Click 
 on the guide bar and define the following options.
Search distance
The distance between the parts.
Minimum length
The tolerance for the smallest connector.
Holes exclusion
radius
Filters holes from the flange search if under a defined width.
Spacing
Sets a spacing value on the connector.
Create internal
seams
Creates connectors within a part if able.
4. Click 
 on the guide bar.
The created output is connectors with the appropriate spacing and other associated parameters. The connectors are"
53,in the unrealized state.
54,"3/28/23, 12:01 AM
Create Parts, Part Assemblies, and Part Instances
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/part_partassembly_partinstance_create_t.htm
1/1
2022.2
Create Parts, Part Assemblies, and Part Instances
Only CAE parts and part assemblies can be manually created in HyperMesh. PDM parts and
part assemblies must be imported into HyperMesh.
Parts and Part Assemblies"
55,"Parts and Part Assemblies
1. In the Part Browser, right-click and select Create  > (and then) <entity type> from the context menu.
The new part, or part assembly, is created and displayed in the browser. Part assembly or part level entities
cannot be modified or deleted.
Part Instances
2. To link two or more similar parts as instances, right-click on the appropriate parts and select Instances  > (and
then) Link from the context menu.
You are prompted to select the source part via the Link Instance."
56,"3. In the Part Browser, right-click on a part and select Instances  > (and then) Create from the context menu.
The new part instance is created and displayed in the browser. You will automatically be prompted to
transform the part via the Transform tool.
4. To separate the part instance, right-click on the instance and select Instances  > (and then) Break.
5. To propagate changes made from one instance to all other instances, right-click on the instance part where"
57,"changes are complete and select Instance  > (and then) Sync.
Changes are propagated from the selected instance to all other instances in the session.
6. To rename a part instance, do one of the following:
Click on the part instance to highlight it and rename.
Right-click on the part instance and select Rename from the context menu.
Click on the part instance to select it then click on the name in the Entity Editor."
58,Note:  Changing the name of the part instance will propagate to the part instance of the same part.
59,"3/28/23, 12:04 AM
Create Representations
https://help.altair.com/hwdesktop/hwx/topics/pre_processing/model_build_and_assembly/representation_create_t.htm
1/2
2022.2
Create Representations
Representations utilize the mesh parameter and criteria files that are included with HyperMesh. You can find these
files in the BatchMesher. The Param File and Criteria File fields display the representation specific mesh parameter
and criteria file."
60,"and criteria file.
Common representations form the basis of all subsequent discipline specific mesh representations. When you select
a discipline specific mesh representation from the Change Representation dialog, Create tab, the Common
representation residing in the repository is automatically sent to the BatchMesher for processing. If the Common
representation does not exist it will be automatically generated."
61,"1. In the Part Browser, right-click on part assemblies or parts and select Representations  > (and then) Create
from the context menu.
2. In the Change Representation dialog, Create tab, select a desired representation.
The availability of the selected representation in the repository is displayed next to the representation type
within parentheses.
Figure 1. Available Representations.
(0/11) common representations available in the repository."
62,"3. Optional: To save the newly created representations to the Part Library select the Save to Library checkbox.
4. Select the Midsurface method (default is Skin)."
